Filename,Red_Mean,Green_Mean,Blue_Mean,Blur_Variance,Brightness,Highlight_Ratio,Category_Tags
100_img_.png,22.9,134.83,175.35,664.33,105.98,0.0001,Deep Sea (Severe Cast)
10139.png,55.34,149.9,162.76,55.64,123.12,0,Turbid / High Haze
10151.png,57.48,108.43,96.13,94.51,91.8,0,Turbid / High Haze
101_img_.png,101.42,156.63,112.2,68.93,135.05,0.0001,Turbid / High Haze + High Green Density (Algae)
102_img_.png,30.29,114.32,91.74,116.44,86.61,0.0001,High Green Density (Algae) + Deep Sea (Severe Cast)
104_img_.png,41.49,121.62,166.43,54.36,102.76,0.0045,Turbid / High Haze
105_img_.png,26.3,146.2,74.31,97.4,102.15,0,Turbid / High Haze + High Green Density (Algae) + Deep Sea (Severe Cast)
106_img_.png,44.66,66.1,82.12,1056.34,61.5,0,Standard / Moderate
107_img_.png,4.7,113.94,177.4,21.89,88.5,0,Turbid / High Haze + Deep Sea (Severe Cast)
108_img_.png,106.33,169.03,180.72,156.28,151.58,0.0019,Standard / Moderate
10909.png,89.77,105.95,104.19,44.93,100.92,0.0001,Turbid / High Haze
10945.png,59.66,117.34,149.84,10.97,103.82,0,Turbid / High Haze
109_img_.png,13.53,142.99,126.83,283.63,102.45,0.0027,Deep Sea (Severe Cast)
10_img_.png,4.15,121.79,181.93,82.62,93.45,0.0072,Turbid / High Haze + Deep Sea (Severe Cast)
11052.png,93.77,92.86,82.35,95.03,91.93,0,Turbid / High Haze
11064.png,69.32,96.58,105.99,82.23,89.49,0,Turbid / High Haze
111_img_.png,22.2,112.52,166.8,36.74,91.65,0,Turbid / High Haze + Deep Sea (Severe Cast)
112_img_.png,105.35,159,161.87,45.89,143.28,0.001,Turbid / High Haze
11374.png,74.99,138.79,138.75,196.29,119.67,0.0009,Standard / Moderate
11398.png,75.49,142.52,127.78,106.13,120.79,0,Standard / Moderate
113_img_.png,17.73,114.06,128.52,37.09,86.9,0.0212,Turbid / High Haze + Shallow (Sunlit / Caustics)
114_img_.png,69.55,135.26,161.31,1713.06,118.59,0.0381,Shallow (Sunlit / Caustics)
115_img_.png,13.75,94.05,180.65,565.25,79.91,0,Deep Sea (Severe Cast)
116_img_.png,60.96,145.22,142.34,265.46,119.69,0.0059,Standard / Moderate
117_img_.png,118.66,117.02,114.08,478.4,117.18,0.0058,Standard / Moderate
118_img_.png,117.88,131.6,142.78,204.56,128.77,0.0061,Standard / Moderate
11_img_.png,22.42,123.66,116.59,555.63,92.57,0.0104,Deep Sea (Severe Cast)
120_img_.png,111.35,134.99,153.68,130.25,130.05,0.0038,Standard / Moderate
121_img_.png,61.1,110.5,132.76,416.78,98.25,0.0074,Standard / Moderate
1225.png,61.63,95.54,83.98,297.36,84.08,0.0104,Standard / Moderate
12290.png,23.82,25.59,28.09,14.13,25.32,0,Low Illumination + Turbid / High Haze
12299.png,35.95,43.72,44.05,34.26,41.44,0.0014,Low Illumination + Turbid / High Haze
122_img_.png,112.72,132.6,149.45,144.6,128.57,0.0008,Standard / Moderate
12324.png,40.83,43,38.86,111.95,41.87,0.0106,Low Illumination
12336.png,66.92,65.01,57.8,36.45,64.77,0.0007,Turbid / High Haze
12348.png,28.49,36.59,33.83,9.34,33.85,0,Low Illumination + Turbid / High Haze
123_img_.png,139.65,139.53,142.46,559.31,139.9,0.0075,Standard / Moderate
12422.png,51.89,88.35,101.17,12.84,78.91,0,Turbid / High Haze
12433.png,61.14,92.48,100.76,96.95,84.06,0.0095,Turbid / High Haze
12445.png,59.66,86.56,97.69,271.49,79.78,0.0048,Standard / Moderate
124_img_.png,109.28,135.38,158.62,220.97,130.22,0.003,Standard / Moderate
125_img_.png,136.01,132.06,132.82,797.72,133.33,0.0062,Standard / Moderate
12900.png,57.23,86.91,94.38,31.49,78.88,0.0017,Turbid / High Haze
129_img_.png,3.46,119.49,121.03,85.73,84.97,0,Turbid / High Haze + Deep Sea (Severe Cast)
130_img_.png,111.76,127.17,141.35,254.82,124.18,0.0009,Standard / Moderate
131_img_.png,90.71,129.62,162.6,127.55,121.74,0.0014,Standard / Moderate
133_img_.png,124.59,135.41,144.83,248.89,133.25,0.0017,Standard / Moderate
135_img_.png,66.8,146.83,178.77,184.06,126.54,0.0007,Standard / Moderate
136_img_.png,26.06,70.42,98.39,184.71,60.33,0,Deep Sea (Severe Cast)
137_img_.png,124.33,136.25,150.72,271.17,134.33,0.0041,Standard / Moderate
138_img_.png,79.38,136.16,180.9,91.73,124.28,0.0008,Turbid / High Haze
139_img_.png,1.58,141.05,178.21,22.1,103.57,0,Turbid / High Haze + Deep Sea (Severe Cast)
13_img_.png,39.47,154.89,150.57,248.07,119.92,0.0004,Deep Sea (Severe Cast)
1407.png,75.07,89.67,95.98,85.92,86.04,0.0097,Turbid / High Haze
140_img_.png,40.55,103.43,115.79,125.64,86.03,0.0007,Standard / Moderate
141_img_.png,101.88,124.58,144.3,258.57,120.04,0.0026,Standard / Moderate
142_img_.png,1.93,152.37,113.7,17.31,102.96,0,Turbid / High Haze + High Green Density (Algae) + Deep Sea (Severe Cast)
143_img_.png,21.56,157.4,135.74,265.76,114.31,0.0027,High Green Density (Algae) + Deep Sea (Severe Cast)
144_img_.png,111.41,139.82,160.78,239.07,133.71,0.0013,Standard / Moderate
145_img_.png,105.34,130.11,149.49,202.71,124.91,0.0009,Standard / Moderate
146_img_.png,3.03,140.62,145.78,310.55,100.06,0,Deep Sea (Severe Cast)
148_img_.png,117.57,133.89,149.88,279.42,130.83,0.0042,Standard / Moderate
1491.png,34.3,72.79,77.05,46.34,61.76,0.0002,Turbid / High Haze
149_img_.png,43.48,137.34,172.08,162.94,113.24,0.001,Standard / Moderate
14_img_.png,35.25,115.74,116.87,335.71,91.79,0.0084,Deep Sea (Severe Cast)
15001.png,106.33,117.61,13.27,127.1,102.34,0.0008,Standard / Moderate
15003.png,115.69,126.72,15.85,76.68,110.77,0.0031,Turbid / High Haze
15045.png,123.08,159.6,153.47,58.44,147.97,0.0002,Turbid / High Haze
15094.png,120.84,148.33,146.45,69.67,139.9,0.0202,Turbid / High Haze + Shallow (Sunlit / Caustics)
150_img_.png,97.89,137.82,168.93,248.38,129.43,0.0016,Standard / Moderate
15113.png,110.63,150.45,147.24,22.64,138.17,0.0006,Turbid / High Haze
15136.png,104.29,129.57,132.89,25.12,122.39,0.0041,Turbid / High Haze
151_img_.png,58.12,138.52,175.59,121.96,118.71,0.0002,Standard / Moderate
152_img_.png,96.52,121.58,162.33,269.16,118.7,0.0001,Standard / Moderate
1539.png,61.15,103.69,91.7,119.51,89.61,0,Standard / Moderate
153_img_.png,63.79,128.61,158.7,196.53,112.66,0.0023,Standard / Moderate
15418.png,94.13,99.39,25.86,21.92,89.44,0.0013,Turbid / High Haze
15426.png,88.17,108.95,42.65,20.7,95.19,0.0014,Turbid / High Haze + High Green Density (Algae)
154_img_.png,124.87,135.79,146.87,450.54,133.78,0.0046,Standard / Moderate
15544.png,112.29,123.75,75.95,233.42,114.86,0.0403,Shallow (Sunlit / Caustics)
155_img_.png,93.96,124.91,109.03,787.47,113.84,0.0126,Standard / Moderate
156_img_.png,128.36,126.91,129.84,878.13,127.68,0.0089,Standard / Moderate
15704.png,123.08,161.65,158.8,14.79,149.79,0,Turbid / High Haze
1573.png,48.79,113.14,97.27,56.72,92.1,0.0038,Turbid / High Haze
157_img_.png,95.52,122.71,141.26,338.3,116.69,0.0028,Standard / Moderate
158_img_.png,128.05,124.4,125.36,989.44,125.6,0.0086,Standard / Moderate
159_img_.png,113.25,129.16,140.23,279.44,125.66,0.001,Standard / Moderate
15_img_.png,52.83,126.33,120.16,1978.6,103.64,0.0233,Shallow (Sunlit / Caustics)
160_img_.png,45.51,155.65,170.5,155.15,124.42,0.0004,Standard / Moderate
161_img_.png,123.38,123.04,122.88,1068.22,123.13,0.0086,Standard / Moderate
162_img_.png,120.83,125.62,130.81,859.1,124.78,0.0082,Standard / Moderate
163_img_.png,120.11,123.56,120.1,1941.01,122.13,0.0213,Shallow (Sunlit / Caustics)
164_img_.png,118.38,128.9,140.7,524.94,127.1,0.0162,Standard / Moderate
165_img_.png,108.78,122.15,138.87,589.89,120.05,0.0041,Standard / Moderate
1660.png,32.07,116.12,110.47,31.15,90.35,0,Turbid / High Haze + Deep Sea (Severe Cast)
166_img_.png,59.57,109.82,95.07,671.77,93.11,0.0072,Standard / Moderate
168_img_.png,1.74,117.56,173.24,83.55,89.25,0,Turbid / High Haze + Deep Sea (Severe Cast)
169_img_.png,73.49,171.32,144.47,945.79,139.01,0.0313,Shallow (Sunlit / Caustics) + High Green Density (Algae)
16_img_.png,121.55,126.26,131.96,134.72,125.5,0.0054,Standard / Moderate
170_img_.png,86.92,129.85,160.87,223.4,120.55,0,Standard / Moderate
171_img_.png,79.31,157.89,136.83,74.61,131.99,0.002,Turbid / High Haze + High Green Density (Algae)
172_img_.png,82.06,165.48,133.91,1648.02,136.92,0.0137,High Green Density (Algae)
173_img_.png,70.72,138.98,166.98,375.9,121.76,0.0021,Standard / Moderate
1742.png,63.86,143.28,144,32.91,119.62,0,Turbid / High Haze
174_img_.png,97.33,173.23,203.37,45.68,153.97,0.0014,Turbid / High Haze
175_img_.png,141.73,140.38,133.74,17.95,140.02,0.0007,Turbid / High Haze
176_img_.png,113.31,138.15,142.52,3564.27,131.22,0.037,Shallow (Sunlit / Caustics)
177_img_.png,29.7,112.7,190.09,766.28,96.71,0.0004,Deep Sea (Severe Cast)
178_img_.png,120.47,133.35,114.61,112.64,127.35,0.0005,Standard / Moderate
179_img_.png,112.68,125.88,95.02,321.02,118.42,0.001,Standard / Moderate
17_img_.png,93.8,124.42,140.24,1019.48,117.06,0.0166,Standard / Moderate
180_img_.png,56.09,125.02,107.15,286.85,102.37,0.0061,Standard / Moderate
182_img_.png,39.49,114.33,125.17,2004.13,93.18,0.0031,Deep Sea (Severe Cast)
183_img_.png,111.07,121.82,102.7,235.85,116.42,0.0043,Standard / Moderate
184_img_.png,91.83,91.38,48.64,130.21,86.62,0.0019,Standard / Moderate
185_img_.png,117.45,131.89,96.43,781.28,123.53,0.0123,Standard / Moderate
186_img_.png,51.34,116.95,142.13,623.74,100.19,0.0133,Standard / Moderate
187_img_.png,120.02,131.83,117.7,272.03,126.68,0.0101,Standard / Moderate
188_img_.png,115.88,129.67,99.09,766.91,122.06,0.0127,Standard / Moderate
189_img_.png,5.79,111.49,128.85,69.97,81.86,0.0001,Turbid / High Haze + Deep Sea (Severe Cast)
18_img_.png,12.28,176.96,104.32,109.83,119.43,0,High Green Density (Algae) + Deep Sea (Severe Cast)
190_img_.png,115.1,122.7,111.74,325.87,119.18,0.0002,Standard / Moderate
191_img_.png,114.18,123.26,130.2,367.3,121.33,0.0008,Standard / Moderate
192_img_.png,92.73,112.65,103.45,1030.28,105.65,0.0156,Standard / Moderate
193_img_.png,78.59,117.36,105.49,1108.37,104.42,0.0404,Shallow (Sunlit / Caustics)
194_img_.png,111.45,124.62,98.07,525.72,117.65,0.0021,Standard / Moderate
1957.png,83.75,94.22,75.33,61.04,88.94,0.0012,Turbid / High Haze
195_img_.png,116.7,134.92,128.76,269.81,128.78,0.0041,Standard / Moderate
196_img_.png,103.2,117.07,90.85,750.24,109.94,0.0033,Standard / Moderate
197_img_.png,97.07,162.31,167.55,392.11,143.42,0.0753,Shallow (Sunlit / Caustics)
198_img_.png,106.76,121.38,102.54,522.12,114.86,0.0035,Standard / Moderate
199_img_.png,107.86,124.39,119.97,364.52,118.94,0.0026,Standard / Moderate
19_img_.png,41.33,108.48,111.2,912.56,88.71,0.0076,Standard / Moderate
20.png,89.3,118.34,113.67,214.61,109.12,0.0048,Standard / Moderate
200_img_.png,128.26,135.22,78.81,912.38,126.71,0.0253,Shallow (Sunlit / Caustics)
201_img_.png,95.04,122.76,115.95,1353.7,113.7,0.0131,Standard / Moderate
202_img_.png,169.93,187.09,120.12,205.14,174.33,0.0305,Shallow (Sunlit / Caustics)
203_img_.png,10.76,115.34,117.46,418.69,84.27,0.0075,Deep Sea (Severe Cast)
204_img_.png,26.11,141.19,63.75,75.32,97.94,0,Turbid / High Haze + High Green Density (Algae) + Deep Sea (Severe Cast)
205_img_.png,129.24,138.28,137.59,110.27,135.5,0.0001,Standard / Moderate
206_img_.png,106.15,117.84,94.52,831.27,111.69,0.0097,Standard / Moderate
207_img_.png,115.87,128.26,98.02,771.74,121.11,0.0059,Standard / Moderate
208_img_.png,93.93,164.16,157.28,55.43,142.36,0.0009,Turbid / High Haze
